Author,Year,post_population,post_mortality,pre_population,pre_mortality
Jane Doe et al,1988,70,14,50,13
Anna Martin et al,1991,85,12,60,15
Liam Carter et al,1994,420,135,430,290
Sophia Brown et al,1999,40,11,38,14
Ethan Davis et al,2001,390,65,450,80
Mia Wilson et al,2005,580,36,440,45
Noah Taylor et al,2007,790,42,430,38
Olivia Anderson et al,2009,28000,2400,6600,870
Lucas Thomas et al,2012,600,62,780,100
Chloe White et al,2013,135,6,105,9
James Harris et al,2014,145,11,205,27
Amelia Lewis et al,2015,72,6,65,2
Benjamin Walker et al,2016,150,17,55,7
Ella King et al,2017,440,69,410,77
Jack Hall et al,2020,235,11,245,12
Grace Allen et al,2021,82,6,85,13
William Young et al,2023,1620,41,2040,95
